legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 8638,"Bingham, Jonathan B. [Rep.-D-NY-22]",Democratic,07/29/1977,95,NY
H.R. 8588,"Fountain, L. H. [Rep.-D-NC-02]",Democratic,07/27/1977,95,NC
H.R. 8533,"Brodhead, William [Rep.-D-MI-17]",Democratic,07/26/1977,95,MI
H.R. 8499,"Young, Don [Rep.-R-AK-00]",Republican,07/22/1977,95,AK
H.R. 8471,"Roncalio, Teno [Rep.-D-WY-00]",Democratic,07/21/1978,95,WY
H.R. 8449,"Wright, James C., Jr. [Rep.-D-TX-12]",Democratic,07/20/1977,95,TX
H.R. 8423,"Rostenkowski, Dan [Rep.-D-IL-08]",Democratic,07/19/1977,95,IL
H.R. 8422,"Rostenkowski, Dan [Rep.-D-IL-08]",Democratic,07/19/1977,95,IL
H.R. 8397,"Udall, Morris K. [Rep.-D-AZ-02]",Democratic,07/18/1977,95,AZ
H.R. 8394,"Steiger, William A. [Rep.-R-WI-06]",Republican,07/18/1977,95,WI
H.R. 8389,"Pepper, Claude [Rep.-D-FL-14]",Democratic,07/18/1977,95,FL
H.R. 8358,"Nedzi, Lucien N. [Rep.-D-MI-14]",Democratic,07/15/1977,95,MI
H.R. 8346,"Edgar, Robert W. [Rep.-D-PA-07]",Democratic,07/15/1977,95,PA
H.R. 8342,"Clay, William (Bill) [Rep.-D-MO-01]",Democratic,07/15/1977,95,MO
H.R. 8336,"Levitas, Elliott H. [Rep.-D-GA-04]",Democratic,07/14/1977,95,GA
H.R. 8331,"Eckhardt, Bob [Rep.-D-TX-08]",Democratic,07/14/1977,95,TX
H.R. 8308,"McHugh, Matthew F. [Rep.-D-NY-27]",Democratic,07/13/1977,95,NY
H.R. 8212,"Rogers, Paul G. [Rep.-D-FL-11]",Democratic,07/11/1977,95,FL
H.R. 8200,"Edwards, Don [Rep.-D-CA-10]",Democratic,07/11/1977,95,CA
H.R. 8192,"Dellums, Ronald V. [Rep.-D-CA-08]",Democratic,06/30/1977,95,CA
H.R. 8175,"Satterfield, David E., III [Rep.-D-VA-03]",Democratic,06/30/1977,95,VA
H.R. 8159,"Murphy, John M. [Rep.-D-NY-17]",Democratic,06/30/1977,95,NY
H.R. 8149,"Jones, James R. [Rep.-D-OK-01]",Democratic,06/30/1977,95,OK
H.R. 8112,"Preyer, Richardson [Rep.-D-NC-06]",Democratic,06/29/1977,95,NC
H.R. 7971,"McFall, John J. [Rep.-D-CA-14]",Democratic,06/22/1977,95,CA
H.R. 7933,"Mahon, George H. [Rep.-D-TX-19]",Democratic,06/21/1977,95,TX
H.R. 7932,"Shipley, George E. [Rep.-D-IL-22]",Democratic,06/21/1977,95,IL
H.R. 7843,"Rodino, Peter W., Jr. [Rep.-D-NJ-10]",Democratic,06/16/1977,95,NJ
H.R. 7819,"Fascell, Dante B. [Rep.-D-FL-15]",Democratic,06/16/1977,95,FL
H.R. 7814,"Solarz, Stephen J. [Rep.-D-NY-13]",Democratic,06/15/1977,95,NY
H.R. 7797,"Long, Clarence D. [Rep.-D-MD-02]",Democratic,06/15/1977,95,MD
H.R. 7795,"Kostmayer, Peter H. [Rep.-D-PA-08]",Democratic,06/14/1977,95,PA
H.R. 7769,"Fish, Hamilton, Jr. [Rep.-R-NY-25]",Republican,06/14/1977,95,NY
H.R. 7766,"Diggs, Charles C., Jr. [Rep.-D-MI-13]",Democratic,06/14/1977,95,MI
H.R. 7749,"Murphy, John M. [Rep.-D-NY-17]",Democratic,06/13/1977,95,NY
H.R. 7744,"Johnson, Harold T. [Rep.-D-CA-01]",Democratic,06/13/1977,95,CA
H.R. 7738,"Bingham, Jonathan B. [Rep.-D-NY-22]",Democratic,06/13/1977,95,NY
H.R. 7691,"Brooks, Jack B. [Rep.-D-TX-09]",Democratic,06/09/1977,95,TX
H.R. 7653,"Holtzman, Elizabeth [Rep.-D-NY-16]",Democratic,06/07/1977,95,NY
H.R. 7636,"Yates, Sidney R. [Rep.-D-IL-09]",Democratic,06/06/1977,95,IL
H.R. 7606,"AuCoin, Les [Rep.-D-OR-01]",Democratic,06/06/1977,95,OR
H.R. 7604,"Walker, Robert S. [Rep.-R-PA-16]",Republican,06/03/1977,95,PA
H.R. 7589,"McKay, K. Gunn [Rep.-D-UT-01]",Democratic,06/02/1977,95,UT
H.R. 7581,"Holland, Kenneth L. [Rep.-D-SC-05]",Democratic,06/02/1977,95,SC
H.R. 7577,"Andrews, Ike [Rep.-D-NC-04]",Democratic,06/02/1977,95,NC
H.R. 7558,"Whitten, Jamie L. [Rep.-D-MS-01]",Democratic,06/02/1977,95,MS
H.R. 7557,"McFall, John J. [Rep.-D-CA-14]",Democratic,06/02/1977,95,CA
H.R. 7556,"Slack, John [Rep.-D-WV-03]",Democratic,06/02/1977,95,WV
H.R. 7554,"Boland, Edward P. [Rep.-D-MA-02]",Democratic,06/02/1977,95,MA
H.R. 7553,"Bevill, Tom [Rep.-D-AL-04]",Democratic,06/02/1977,95,AL
H.R. 7552,"Steed, Tom [Rep.-D-OK-04]",Democratic,06/02/1977,95,OK
H.R. 7550,"Harrington, Michael J. [Rep.-D-MA-06]",Democratic,06/01/1977,95,MA
H.R. 7442,"Wirth, Timothy [Rep.-D-CO-02]",Democratic,05/25/1977,95,CO
H.R. 7419,"Benjamin, Adam, Jr. [Rep.-D-IN-01]",Democratic,05/24/1977,95,IN
H.R. 7387,"Stokes, Louis [Rep.-D-OH-21]",Democratic,05/23/1977,95,OH
H.R. 7345,"Montgomery, G. V. (Sonny) [Rep.-D-MS-03]",Democratic,05/23/1977,95,MS
H.R. 7320,"Ullman, Al [Rep.-D-OR-02]",Democratic,05/19/1977,95,OR
H.R. 7305,"Madigan, Edward R. [Rep.-R-IL-21]",Republican,05/18/1977,95,IL
H.R. 7296,"Wydler, John W. [Rep.-R-NY-05]",Republican,05/18/1977,95,NY
H.R. 7278,"Murphy, John M. [Rep.-D-NY-17]",Democratic,05/18/1977,95,NY
H.R. 7162,"Ketchum, William M. [Rep.-R-CA-18]",Republican,05/12/1977,95,CA
H.R. 7161,"White, Richard C. [Rep.-D-TX-16]",Democratic,05/12/1977,95,TX
H.R. 7101,"Pettis, Shirley N. [Rep.-R-CA-37]",Republican,05/11/1977,95,CA
H.R. 7074,"Duncan, Robert B. [Rep.-D-OR-03]",Democratic,05/10/1977,95,OR
H.R. 6975,"Schroeder, Patricia [Rep.-D-CO-01]",Democratic,05/05/1977,95,CO
H.R. 6951,"Moorhead, William S. [Rep.-D-PA-14]",Democratic,05/05/1977,95,PA
H.R. 6934,"Mitchell, Donald J. [Rep.-R-NY-31]",Republican,05/04/1977,95,NY
H.R. 6893,"Danielson, George E. [Rep.-D-CA-30]",Democratic,05/04/1977,95,CA
H.R. 6884,"Zablocki, Clement J. [Rep.-D-WI-04]",Democratic,05/04/1977,95,WI
H.R. 6823,"Murphy, John M. [Rep.-D-NY-17]",Democratic,05/02/1977,95,NY
H.R. 6801,"Conte, Silvio O. [Rep.-R-MA-01]",Republican,04/29/1977,95,MA
H.R. 6782,"Krebs, John H. [Rep.-D-CA-17]",Democratic,04/29/1977,95,CA
H.R. 6774,"Ford, William D. [Rep.-D-MI-15]",Democratic,04/29/1977,95,MI
H.R. 6760,"McEwen, Robert C. [Rep.-R-NY-30]",Republican,04/28/1977,95,NY
H.R. 6752,"Meeds, Lloyd [Rep.-D-WA-02]",Democratic,04/28/1977,95,WA
H.R. 6714,"Zablocki, Clement J. [Rep.-D-WI-04]",Democratic,04/28/1977,95,WI
H.R. 6693,"Brademas, John [Rep.-D-IN-03]",Democratic,04/27/1977,95,IN
H.R. 6692,"Brademas, John [Rep.-D-IN-03]",Democratic,04/27/1977,95,IN
H.R. 6689,"Fascell, Dante B. [Rep.-D-FL-15]",Democratic,04/27/1977,95,FL
H.R. 6669,"Brown, George E., Jr. [Rep.-D-CA-36]",Democratic,04/27/1977,95,CA
H.R. 6668,"Brademas, John [Rep.-D-IN-03]",Democratic,04/27/1977,95,IN
H.R. 6666,"Kastenmeier, Robert W. [Rep.-D-WI-02]",Democratic,04/27/1977,95,WI
H.R. 6664,"Burton, Phillip [Rep.-D-CA-06]",Democratic,04/26/1977,95,CA
H.R. 6655,"Reuss, Henry S. [Rep.-D-WI-05]",Democratic,04/26/1977,95,WI
H.R. 6550,"Burton, Phillip [Rep.-D-CA-06]",Democratic,04/22/1977,95,CA
H.R. 6530,"Diggs, Charles C., Jr. [Rep.-D-MI-13]",Democratic,04/21/1977,95,MI
H.R. 6503,"Murphy, John M. [Rep.-D-NY-17]",Democratic,04/21/1977,95,NY
H.R. 6502,"Montgomery, G. V. (Sonny) [Rep.-D-MS-03]",Democratic,04/21/1977,95,MS
H.R. 6415,"Neal, Stephen L. [Rep.-D-NC-05]",Democratic,04/20/1977,95,NC
H.R. 6401,"Johnson, Harold T. [Rep.-D-CA-01]",Democratic,04/20/1977,95,CA
H.R. 6370,"Vanik, Charles A. [Rep.-D-OH-22]",Democratic,04/20/1977,95,OH
H.R. 6348,"Santini, James D. [Rep.-D-NV-98]",Democratic,04/19/1977,95,NV
H.R. 6206,"Leggett, Robert L. [Rep.-D-CA-04]",Democratic,04/06/1977,95,CA
H.R. 6205,"Leggett, Robert L. [Rep.-D-CA-04]",Democratic,04/06/1977,95,CA
H.R. 6197,"Johnson, Harold T. [Rep.-D-CA-01]",Democratic,04/06/1977,95,CA
H.R. 6179,"Zablocki, Clement J. [Rep.-D-WI-04]",Democratic,04/06/1977,95,WI
H.R. 6161,"Rogers, Paul G. [Rep.-D-FL-11]",Democratic,04/06/1977,95,FL
H.R. 6138,"Hawkins, Augustus F. [Rep.-D-CA-29]",Democratic,04/06/1977,95,CA
H.R. 6111,"Andrews, Ike [Rep.-D-NC-04]",Democratic,04/06/1977,95,NC
H.R. 6010,"Anderson, Glenn M. [Rep.-D-CA-32]",Democratic,04/05/1977,95,CA
H.R. 5981,"Thompson, Frank, Jr. [Rep.-D-NJ-04]",Democratic,04/04/1977,95,NJ
H.R. 5970,"Price, Melvin [Rep.-D-IL-23]",Democratic,04/04/1977,95,IL
